Name,Link
Akademiya gos. sluzhby hotel,https://tury.ru/hotel/id/79846-russia-st-petersburg-akademiya-gos-sluzhby-hotel
Nevskiy Hostel - Bolshaya Konyushennaya 11 2*,https://tury.ru/hotel/id/80218-russia-st-petersburg-nevskiy-hostel
Alexander house hotel Saint Petersburg 4*,https://tury.ru/hotel/id/80722-russia-st-petersburg-alexander-house-hotel-saint-petersburg-4
Holiday Inn St. Petersburg-Moskovskye Vorota hotel 4*,https://tury.ru/hotel/id/81858-russia-st-petersburg-holiday-inn-st-petersburg-moskovskye-vorota-hotel-4
Kristoff Hotel 3*,https://tury.ru/hotel/id/81931-russia-st-petersburg-kristoff-hotel-3
Baltic Star Hotel 5*,https://tury.ru/hotel/id/81933-russia-strelna-the-baltic-star-hotel-5
Tsaritsyn Lug mini-hotel,https://tury.ru/hotel/id/81934-russia-st-petersburg-tsaritsyn-lug-mini-hotel
Guyot hotel 4*,https://tury.ru/hotel/id/81938-russia-st-petersburg-guyot-hotel-4
Yuzhno-Primorskii mini hotel 3*,https://tury.ru/hotel/id/81940-russia-st-petersburg-yuzhno-primorskii-mini-hotel
Aleksandriya Petergof hotel 3*,https://tury.ru/hotel/id/82352-russia-st-petersburg-aleksandriya-petergof-hotel
Pilau mini hotel,https://tury.ru/hotel/id/83034-russia-st-petersburg-pilau-malyy-otel-biznes-klassa
Manifest Hotel 3*,https://tury.ru/hotel/id/83155-russia-st-petersburg-manifest-manifest
Shelfort Hotel 3*,https://tury.ru/hotel/id/83716-russia-st-petersburg-shelfort-hotel-3
Pio na Mohovoj mini hotel,https://tury.ru/hotel/id/84756-russia-st-petersburg-pio-na-mohovoy-pio-na-mohovoj
Pio na Griboedova mini hotel 3*,https://tury.ru/hotel/id/84758-russia-st-petersburg-pio-na-griboedova-pio-na-griboedova
President-Hotel,https://tury.ru/hotel/id/85078-russia-st-petersburg-prezident-otel-president-hotel
Menshikov hotel St. Petersburg,https://tury.ru/hotel/id/85257-russia-st-petersburg-menshikov-menshikov
Repin hotel 3*,https://tury.ru/hotel/id/85305-russia-st-petersburg-repin-repin-3
Vesta hotel St. Petersburg 3*,https://tury.ru/hotel/id/85307-russia-st-petersburg-vesta-hotel-st-petersburg-3
Best Corner mini hotel 3*,https://tury.ru/hotel/id/85311-russia-st-petersburg-best-corner-mini-hotel
ALVinn mini hotel,https://tury.ru/hotel/id/85324-russia-st-petersburg-alvinn-mini-hotel
Doma.ru mini hotel 3*,https://tury.ru/hotel/id/85388-russia-st-petersburg-doma-ru-mini-hotel
Avgust mini hotel,https://tury.ru/hotel/id/85537-russia-st-petersburg-avgust-mini-hotel
Nordik Mini Hotel,https://tury.ru/hotel/id/85539-russia-st-petersburg-nordik-nordik
Rezidenciya u Admiraltejstva mini hotel 3*,https://tury.ru/hotel/id/85549-russia-st-petersburg-rezidenciya-u-admiralteystva-rezidenciya-u-admiraltejstva
Residence near Admiralteistva mini hotel 3*,https://tury.ru/hotel/id/85550-russia-st-petersburg-residence-near-admiralteistva-mini-hotel
Abazhur na Nevskom 23 mini hotel St. Petersburg 3*,https://tury.ru/hotel/id/85939-russia-st-petersburg-abazhur-na-nevskom-23-mini-hotel-st-petersburg
Oktaviana Mini Hotel,https://tury.ru/hotel/id/85942-russia-st-petersburg-oktaviana-oktaviana
Grifon mini hotel 3*,https://tury.ru/hotel/id/85945-russia-st-petersburg-grifon-mini-hotel
Dom Dostoevskogo mini hotel 3*,https://tury.ru/hotel/id/85951-russia-st-petersburg-dom-dostoevskogo-mini-hotel
Sabrina B and B mini hotel,https://tury.ru/hotel/id/85991-russia-st-petersburg-sabrina-b-and-b-sabrina-b-and-b
Sabrina Ekonom mini hotel,https://tury.ru/hotel/id/86005-russia-st-petersburg-sabrina-ekonom-sabrina-ekonom
Anabel Premium hotel,https://tury.ru/hotel/id/86008-russia-st-petersburg-anabel-premium-hotel
Anabel Prostor hotel,https://tury.ru/hotel/id/86009-russia-st-petersburg-anabel-prostor-hotel
Anabel Plaza hotel,https://tury.ru/hotel/id/86011-russia-st-petersburg-anabel-plaza-hotel
Anabel Komfort hotel,https://tury.ru/hotel/id/86018-russia-st-petersburg-anabel-komfort-hotel
Anabel na Nevskom 147 hotel,https://tury.ru/hotel/id/86020-russia-st-petersburg-anabel-na-nevskom-147-hotel
Primavera hotel 3*,https://tury.ru/hotel/id/86048-russia-st-petersburg-primavera-primavera-3
Dinastiya hotel 3*,https://tury.ru/hotel/id/86060-russia-st-petersburg-dinastiya-hotel
Evraziya hotel Saint-Petersburg,https://tury.ru/hotel/id/86066-russia-st-petersburg-evraziya-hotel-saint-petersburg
Regina hotel St. Peterburg 3*,https://tury.ru/hotel/id/86069-russia-st-petersburg-regina-regina
Amsterdam hotel St. Petersburg 3*,https://tury.ru/hotel/id/86080-russia-st-petersburg-amsterdam-hotel-st-petersburg-3
Admiral hotel St. Petersburg 3*,https://tury.ru/hotel/id/86098-russia-st-petersburg-admiral-hotel-st-petersburg-3
Staronevskij dom mini hotel,https://tury.ru/hotel/id/86100-russia-st-petersburg-staronevskiy-dom-staronevskij-dom
Matisov Domik Hotel 3*,https://tury.ru/hotel/id/86105-russia-st-petersburg-matisov-domik-hotel-3
Nikita Hotel St. Petersburg 3*,https://tury.ru/hotel/id/86123-russia-st-petersburg-nikita-nikita-3
Nevsky Dvor Hotel 3*,https://tury.ru/hotel/id/86133-russia-st-petersburg-nevskiy-dvor-nevskij-dvor
Anyuta na Ladozhskoi hotel 3*,https://tury.ru/hotel/id/86141-russia-st-petersburg-anyuta-na-ladozhskoi-hotel
